id_position,cpf_user,satellite_norad_number,lat_user,lon_user,alt_user,timestamp_position,satellite_distance_km
172,609.521.483-15,26624,-48.239629,124.658188,1052.43,2026-03-06 21:52:39,14129.004
525,609.521.483-15,47937,-48.23780846740384,124.66023793264722,201.65,2026-03-06 22:02:39,33330.939
1278,609.521.483-15,40046,-48.23642112439653,124.64978611508486,259.37,2026-03-06 22:18:39,3498.697
807,609.521.483-15,40966,-48.22885014627419,124.6487082232319,783.64,2026-03-06 22:36:39,32411.821
682,609.521.483-15,32794,-48.22441476673775,124.6735553511224,256.38,2026-03-06 22:50:39,34238.222
39,609.521.483-15,26624,-48.24322906636646,124.67745543220984,157.8,2026-03-06 22:56:39,28907.821
242,609.521.483-15,39127,-48.24772341141239,124.64887573620784,849.86,2026-03-06 23:04:39,12436.954
69,609.521.483-15,41588,-48.26824577375721,124.64976542975626,1170.56,2026-03-06 23:19:39,12040.332
12,609.521.483-15,44479,-48.20521495512187,124.65740605946098,63.68,2026-03-06 23:39:39,15320.974
596,609.521.483-15,26580,-48.222594474668284,124.67967276577691,713.34,2026-03-06 23:44:39,9175.122
789,609.521.483-15,41789,-48.28035724845754,124.67275455826001,55.27,2026-03-07 00:01:39,2764.599
1270,609.521.483-15,43600,-48.26842196059076,124.60356673580287,720.23,2026-03-07 00:16:39,5077.01
693,184.065.973-48,32794,-37.6161525,-158.014501,616.23,2026-03-01 22:22:59,410.531
400,184.065.973-48,40424,-37.61720359221186,-158.016728641273,70.79,2026-03-01 22:42:59,375.645
1067,184.065.973-48,35684,-37.606574330706465,-158.02305151086523,1084.69,2026-03-01 22:57:59,30374.24
860,184.065.973-48,43768,-37.60883837301008,-157.9999295741154,931.37,2026-03-01 23:04:59,17397.616
962,184.065.973-48,44479,-37.63158119098706,-158.02672380972413,282.31,2026-03-01 23:22:59,9748.936
443,184.065.973-48,42934,-37.594822258535544,-157.99783669749735,1090.02,2026-03-01 23:28:59,8501.075
1253,184.065.973-48,38528,-37.61591194924315,-157.9882119152332,1119.15,2026-03-01 23:34:59,21704.034
1286,184.065.973-48,33490,-37.64904394007369,-158.0122647915101,28.76,2026-03-01 23:42:59,11387.429
595,184.065.973-48,40982,-37.58912326118951,-158.02306786971758,850.52,2026-03-01 23:52:59,21119.805
1246,184.065.973-48,39237,-37.62093797606268,-157.98165679725898,1155.27,2026-03-02 00:09:59,26870.93
1090,184.065.973-48,37792,-37.63746833562693,-158.00522441023807,868.19,2026-03-02 00:16:59,18099.238
361,184.065.973-48,41786,-37.63726433354686,-157.98918831339537,447.75,2026-03-02 00:32:59,20754.58
234,598.043.671-57,39425,6.579816,-177.109698,208.23,2026-06-04 11:46:56,708.466
232,598.043.671-57,28366,6.575292457712243,-177.11253724077164,822.66,2026-06-04 12:04:56,18572.059
52,598.043.671-57,41460,6.584550584292341,-177.11686863710355,128.5,2026-06-04 12:12:56,6397.677
606,598.043.671-57,52160,6.566793244780345,-177.1218717882795,34.29,2026-06-04 12:31:56,9711.33
759,598.043.671-57,43600,6.566459191093677,-177.11025208831373,1048.39,2026-06-04 12:51:56,25359.833
1169,598.043.671-57,39616,6.604362514958535,-177.12404565187384,536.96,2026-06-04 13:00:56,31090.434
683,598.043.671-57,45465,6.552459475608546,-177.0874682532579,665.83,2026-06-04 13:08:56,8207.155
701,598.043.671-57,33490,6.577115324694661,-177.0975224013152,877.77,2026-06-04 13:20:56,23853.546
1146,598.043.671-57,45117,6.553646946593524,-177.11851058394186,868.87,2026-06-04 13:35:56,33514.501
318,598.043.671-57,39425,6.6127056409897556,-177.1312188102076,237.67,2026-06-04 13:50:56,6512.298
1322,598.043.671-57,45114,6.580198019310974,-177.09506077434082,564.03,2026-06-04 13:57:56,19101.164
741,598.043.671-57,39467,6.621969720145912,-177.13763077047284,438.91,2026-06-04 14:17:56,21970.823
28,139.840.672-40,55508,-69.43383,167.353636,623.45,2026-04-09 18:11:55,18132.266
505,139.840.672-40,33275,-69.4331601272782,167.3554371958085,181.18,2026-04-09 18:17:55,7004.191
211,139.840.672-40,43174,-69.43945817209536,167.34714344800705,578.96,2026-04-09 18:25:55,11119.408
1031,139.840.672-40,7530,-69.44441409700892,167.3592217997648,566.38,2026-04-09 18:34:55,10957.741
880,139.840.672-40,44876,-69.44770487468297,167.3465064432288,693.0,2026-04-09 18:44:55,4434.047
906,139.840.672-40,41789,-69.45370145893426,167.35578525290444,843.0,2026-04-09 19:03:55,27049.369
62,139.840.672-40,43600,-69.44095451859984,167.3250492541233,944.62,2026-04-09 19:11:55,18153.708
225,139.840.672-40,39416,-69.42823885548826,167.33953432433356,279.49,2026-04-09 19:28:55,30707.85
307,139.840.672-40,28366,-69.42322517419021,167.35242137555755,295.21,2026-04-09 19:39:55,18433.993
818,139.840.672-40,38760,-69.41706692786445,167.36163184803422,714.77,2026-04-09 19:54:55,10381.074
1138,139.840.672-40,43861,-69.45361246266047,167.31580921824207,877.81,2026-04-09 20:04:55,3765.394
153,139.840.672-40,47237,-69.44352915856103,167.33975670830338,386.59,2026-04-09 20:19:55,9407.508
51,194.825.063-24,31304,8.70562,-116.834968,299.79,2026-05-01 13:35:37,28715.084
251,194.825.063-24,28366,8.710081799157583,-116.83748070952726,249.26,2026-05-01 13:43:37,29154.997
639,194.825.063-24,35942,8.71029510201102,-116.83861874966892,635.28,2026-05-01 13:58:37,5536.386
180,194.825.063-24,39425,8.696453370906077,-116.82092159596164,786.08,2026-05-01 14:13:37,15119.239
1282,194.825.063-24,36797,8.714623899297866,-116.84738944767493,621.95,2026-05-01 14:23:37,31039.868
1006,194.825.063-24,41786,8.724822571753812,-116.83092306788633,1094.67,2026-05-01 14:42:37,27833.265
711,194.825.063-24,43805,8.712232719600465,-116.84891515803439,989.18,2026-05-01 14:49:37,27598.533
1317,194.825.063-24,41786,8.737918566985849,-116.854276493286,1145.62,2026-05-01 14:54:37,34512.072
868,194.825.063-24,37792,8.716929864259011,-116.85328033654133,88.44,2026-05-01 15:07:37,30178.948
464,194.825.063-24,37810,8.672828812148666,-116.80544674444045,489.74,2026-05-01 15:23:37,35857.741
420,194.825.063-24,40966,8.719709051209525,-116.85017470740486,1074.54,2026-05-01 15:33:37,2048.302
1418,194.825.063-24,35684,8.760168539941338,-116.79804770292009,856.67,2026-05-01 15:39:37,9500.618
1025,037.915.264-99,47939,-82.9369345,5.630954,751.23,2026-04-28 20:34:21,19818.013
156,037.915.264-99,28378,-82.93374323427093,5.635828502924785,194.55,2026-04-28 20:39:21,12077.157
773,037.915.264-99,39467,-82.92809851155863,5.626152952656697,464.98,2026-04-28 20:53:21,17783.107
155,037.915.264-99,45863,-82.92954608641932,5.619449167703373,342.11,2026-04-28 21:05:21,9867.634
585,037.915.264-99,43651,-82.92130294534864,5.634923095805367,822.04,2026-04-28 21:12:21,9461.538
1043,037.915.264-99,44394,-82.91272238424189,5.638174608999179,906.81,2026-04-28 21:30:21,8562.019
999,037.915.264-99,43849,-82.9271160943953,5.632383809116362,616.89,2026-04-28 21:43:21,26806.725
1108,037.915.264-99,41786,-82.9146694963989,5.665053489610788,519.98,2026-04-28 22:01:21,19497.581
123,037.915.264-99,26580,-82.91024290277991,5.594342661037758,217.15,2026-04-28 22:19:21,34687.023
600,037.915.264-99,43556,-82.93830941590141,5.66564418574052,144.19,2026-04-28 22:36:21,22698.934
273,037.915.264-99,35942,-82.92598723457618,5.646485782383281,1066.54,2026-04-28 22:54:21,26008.416
607,037.915.264-99,42775,-82.94821150705219,5.5991302264539,597.2,2026-04-28 23:05:21,5276.453
664,940.523.187-14,44394,1.3930915,-62.044056,387.67,2026-03-12 04:10:16,24981.483
503,940.523.187-14,39256,1.392308723711927,-62.04004593608705,899.02,2026-03-12 04:23:16,8175.826
74,940.523.187-14,44479,1.3955148728226496,-62.041867221135895,374.9,2026-03-12 04:30:16,24604.647
470,940.523.187-14,33460,1.3863193436287988,-62.03503097606371,301.62,2026-03-12 04:45:16,34762.727
1088,940.523.187-14,39508,1.4077978118137424,-62.049159969866196,1046.62,2026-03-12 05:02:16,33056.601
1310,940.523.187-14,26580,1.416210338652729,-62.063472785073174,1044.23,2026-03-12 05:22:16,26034.239
1047,940.523.187-14,31304,1.390171659653849,-62.07008098833581,1141.08,2026-03-12 05:42:16,1995.022
